Year,Dáil,FF,FG,LAB,GP,SF,SF-WP,PSF,WP,DL,PD,DSP,SP,PBP,AAA-PBP,S-PBP,SD,I4C,AON,CnaP,CnaT,NLP,NPD,AHB,SLP,IND,Total,Notes
1951,14,69,40,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,14,147,0
1954,15,65,50,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,5,147,0
1957,16,78,40,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,9,147,0
1961,17,70,47,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,6,142,0
1965,18,72,47,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,144,0
1969,19,75,50,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,144,0
1973,20,69,54,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,144,0
1977,21,84,43,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,148,0
1981,22,78,65,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,166,0
1982,23,81,63,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,166,Feb 1982
1982,24,75,70,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,166,Nov 1982
1987,25,81,51,12,0,0,0,0,4,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,166,0
1989,26,77,55,15,1,0,0,0,7,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,166,0
1992,27,68,45,33,1,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,166,0
1997,28,77,54,17,2,1,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,166,0
2002,29,81,31,20,6,5,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,166,0
2007,30,78,51,20,6,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,166,0
2011,31,20,76,37,0,14,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,15,166,0
2016,32,44,50,7,2,23,0,0,0,0,0,0,0,0,6,0,3,4,0,0,0,0,0,0,0,19,158,0
2020,33,38,35,6,12,37,0,0,0,0,0,0,0,0,0,5,6,1,1,0,0,0,0,0,0,19,160,0
2024,34,48,38,11,1,39,0,0,0,0,0,0,0,0,0,3,11,0,2,0,0,0,0,0,0,21,174,Approx. distribution based on 2024 general election (174 seats)
